draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
157,SL49,2025-01-14,21:00,05-10-20-26-36-40,137,22.833,5,40,35,5,1,3,3,6,0,1
158,SL49,2025-01-16,21:00,02-07-16-31-33-38,127,21.167,2,38,36,3,3,3,3,6,0,0
159,SL49,2025-01-19,21:00,04-20-22-30-31-37,144,24,4,37,33,4,2,3,3,6,1,1
160,SL49,2025-01-21,21:00,19-29-32-40-44-47,211,35.167,19,47,28,3,3,1,5,6,0,0
161,SL49,2025-01-23,21:00,02-09-12-16-31-39,109,18.167,2,39,37,3,3,4,2,6,0,0
162,SL49,2025-01-26,21:00,02-05-21-30-32-44,134,22.333,2,44,42,4,2,3,3,6,0,1
163,SL49,2025-01-28,21:00,16-20-28-34-40-41,179,29.833,16,41,25,5,1,2,4,6,1,0
164,SL49,2025-01-30,21:00,22-26-28-34-37-43,190,31.667,22,43,21,4,2,1,5,6,0,2
165,SL49,2025-02-02,21:00,11-12-16-28-33-49,149,24.833,11,49,38,3,3,3,3,6,1,1
166,SL49,2025-02-04,21:00,02-28-29-42-43-47,191,31.833,2,47,45,3,3,1,5,6,2,1
167,SL49,2025-02-06,21:00,06-13-14-30-35-39,137,22.833,6,39,33,3,3,3,3,6,1,0
168,SL49,2025-02-09,21:00,02-08-11-16-17-39,93,15.5,2,39,37,3,3,5,1,6,1,1
169,SL49,2025-02-11,21:00,01-10-23-38-46-48,166,27.667,1,48,47,4,2,3,3,6,0,0
170,SL49,2025-02-13,21:00,02-13-26-35-45-46,167,27.833,2,46,44,3,3,2,4,6,1,1
171,SL49,2025-02-16,21:00,05-21-24-28-37-48,163,27.167,5,48,43,3,3,3,3,6,0,0
172,SL49,2025-02-18,21:00,13-20-21-30-33-48,165,27.5,13,48,35,3,3,3,3,6,1,2
173,SL49,2025-02-20,21:00,02-03-23-24-36-46,134,22.333,2,46,44,4,2,4,2,6,2,0
174,SL49,2025-02-23,21:00,12-21-26-32-34-40,165,27.5,12,40,28,5,1,2,4,6,0,0
175,SL49,2025-02-25,21:00,03-15-31-41-48-49,187,31.167,3,49,46,1,5,2,4,6,1,0
176,SL49,2025-02-27,21:00,09-13-27-33-37-42,161,26.833,9,42,33,1,5,2,4,6,0,0
177,SL49,2025-03-02,21:00,06-08-24-25-26-37,126,21,6,37,31,4,2,4,2,6,2,1
178,SL49,2025-03-04,21:00,02-03-07-25-38-41,116,19.333,2,41,39,2,4,4,2,6,1,1
179,SL49,2025-03-06,21:00,11-16-18-20-31-39,135,22.5,11,39,28,3,3,4,2,6,0,0
180,SL49,2025-03-09,21:00,04-07-08-21-41-42,123,20.5,4,42,38,3,3,4,2,6,2,0
181,SL49,2025-03-11,21:00,23-25-33-36-41-47,205,34.167,23,47,24,1,5,2,4,6,0,1
182,SL49,2025-03-13,21:00,06-14-19-30-38-40,147,24.5,6,40,34,5,1,3,3,6,0,0
183,SL49,2025-03-16,21:00,05-07-16-28-31-35,122,20.333,5,35,30,2,4,3,3,6,0,0
184,SL49,2025-03-18,21:00,02-10-13-29-38-40,132,22,2,40,38,4,2,3,3,6,0,0
185,SL49,2025-03-20,21:00,01-05-21-27-32-33,119,19.833,1,33,32,1,5,3,3,6,1,0
186,SL49,2025-03-23,21:00,06-11-23-35-36-37,148,24.667,6,37,31,2,4,3,3,6,2,0
187,SL49,2025-03-25,21:00,12-24-37-41-43-46,203,33.833,12,46,34,3,3,2,4,6,0,1
188,SL49,2025-03-27,21:00,05-13-24-30-39-48,159,26.5,5,48,43,3,3,3,3,6,0,1
189,SL49,2025-03-30,21:00,14-18-21-28-41-45,167,27.833,14,45,31,3,3,3,3,6,0,0
190,SL49,2025-04-01,21:00,17-20-26-41-43-46,193,32.167,17,46,29,3,3,2,4,6,0,1
191,SL49,2025-04-03,21:00,25-35-36-37-39-47,219,36.5,25,47,22,1,5,1,5,6,2,0
192,SL49,2025-04-06,21:00,09-26-28-38-41-44,186,31,9,44,35,4,2,1,5,6,0,0
193,SL49,2025-04-08,21:00,34-36-39-43-44-49,245,40.833,34,49,15,3,3,0,6,6,1,1
194,SL49,2025-04-10,21:00,01-08-20-35-36-40,140,23.333,1,40,39,4,2,3,3,6,1,1
195,SL49,2025-04-13,21:00,02-03-06-07-18-35,71,11.833,2,35,33,3,3,5,1,6,2,1
196,SL49,2025-04-15,21:00,01-22-33-34-36-37,163,27.167,1,37,36,3,3,2,4,6,2,0
197,SL49,2025-04-20,21:00,16-18-28-30-41-45,178,29.667,16,45,29,4,2,2,4,6,0,0
198,SL49,2025-04-22,21:00,23-25-31-39-42-49,209,34.833,23,49,26,1,5,2,4,6,0,0
199,SL49,2025-04-24,21:00,06-17-20-32-34-42,151,25.167,6,42,36,5,1,3,3,6,0,1
200,SL49,2025-04-27,21:00,07-08-30-35-39-40,159,26.5,7,40,33,3,3,2,4,6,2,0
201,SL49,2025-04-29,21:00,02-05-09-10-24-25,75,12.5,2,25,23,3,3,6,0,6,2,0
202,SL49,2025-05-01,21:00,01-04-06-13-27-34,85,14.167,1,34,33,3,3,4,2,6,0,0
203,SL49,2025-05-04,21:00,06-16-29-33-43-48,175,29.167,6,48,42,3,3,2,4,6,0,1
204,SL49,2025-05-06,21:00,12-14-28-40-41-47,182,30.333,12,47,35,4,2,2,4,6,1,0
205,SL49,2025-05-08,21:00,02-20-28-31-47-48,176,29.333,2,48,46,4,2,2,4,6,1,2
206,SL49,2025-05-11,21:00,03-12-33-41-47-48,184,30.667,3,48,45,2,4,2,4,6,1,2
207,SL49,2025-05-13,21:00,04-16-19-29-41-43,152,25.333,4,43,39,2,4,3,3,6,0,1
208,SL49,2025-05-15,21:00,02-05-13-14-18-45,97,16.167,2,45,43,3,3,5,1,6,1,0
209,SL49,2025-05-18,21:00,03-04-06-18-37-46,114,19,3,46,43,4,2,4,2,6,1,1
210,SL49,2025-05-20,21:00,02-07-12-32-35-36,124,20.667,2,36,34,4,2,3,3,6,1,0
211,SL49,2025-05-22,21:00,03-11-15-19-23-43,114,19,3,43,40,0,6,5,1,6,0,0
212,SL49,2025-05-25,21:00,13-14-16-24-35-42,144,24,13,42,29,4,2,4,2,6,1,0
213,SL49,2025-05-27,21:00,01-12-17-19-28-46,123,20.5,1,46,45,3,3,4,2,6,0,0
214,SL49,2025-05-29,21:00,03-24-25-29-34-41,156,26,3,41,38,2,4,3,3,6,1,0
215,SL49,2025-06-01,21:00,06-10-19-23-27-38,123,20.5,6,38,32,3,3,4,2,6,0,0
216,SL49,2025-06-03,21:00,17-19-21-43-45-47,192,32,17,47,30,0,6,3,3,6,0,1
217,SL49,2025-06-05,21:00,11-12-28-35-37-41,164,27.333,11,41,30,2,4,2,4,6,1,0
218,SL49,2025-06-08,21:00,01-22-26-27-30-37,143,23.833,1,37,36,3,3,2,4,6,1,1
219,SL49,2025-06-10,21:00,19-20-22-23-39-41,164,27.333,19,41,22,2,4,4,2,6,2,1
220,SL49,2025-06-12,21:00,06-07-08-14-16-46,97,16.167,6,46,40,5,1,5,1,6,2,0
221,SL49,2025-06-15,21:00,12-14-19-32-35-43,155,25.833,12,43,31,3,3,3,3,6,0,1
222,SL49,2025-06-17,21:00,08-19-21-24-27-46,145,24.167,8,46,38,3,3,4,2,6,0,1
223,SL49,2025-06-19,21:00,17-18-19-26-33-39,152,25.333,17,39,22,2,4,3,3,6,2,1
224,SL49,2025-06-22,21:00,11-21-22-28-36-38,156,26,11,38,27,4,2,3,3,6,1,0
225,SL49,2025-06-24,21:00,08-12-13-15-36-40,124,20.667,8,40,32,4,2,4,2,6,1,1
226,SL49,2025-06-26,21:00,05-08-16-18-25-27,99,16.5,5,27,22,3,3,5,1,6,0,1
227,SL49,2025-06-29,21:00,05-06-14-25-32-46,128,21.333,5,46,41,4,2,4,2,6,1,2
228,SL49,2025-07-01,21:00,15-17-19-20-25-47,143,23.833,15,47,32,1,5,5,1,6,1,1
229,SL49,2025-07-03,21:00,27-42-44-45-46-48,252,42,27,48,21,4,2,0,6,6,2,0
230,SL49,2025-07-06,21:00,09-13-23-28-30-36,139,23.167,9,36,27,3,3,3,3,6,0,0
231,SL49,2025-07-08,21:00,03-16-23-26-38-48,154,25.667,3,48,45,4,2,3,3,6,0,1
232,SL49,2025-07-10,21:00,03-07-08-13-25-44,100,16.667,3,44,41,2,4,5,1,6,1,1
233,SL49,2025-07-13,21:00,03-04-07-11-25-46,96,16,3,46,43,2,4,5,1,6,1,3
234,SL49,2025-07-15,21:00,07-08-13-23-29-30,110,18.333,7,30,23,2,4,4,2,6,2,1
235,SL49,2025-07-17,21:00,02-04-08-14-29-37,94,15.667,2,37,35,4,2,4,2,6,0,2
236,SL49,2025-07-20,21:00,12-13-27-29-34-44,159,26.5,12,44,32,3,3,2,4,6,1,1
237,SL49,2025-07-22,21:00,08-14-17-28-42-45,154,25.667,8,45,37,4,2,3,3,6,0,0
238,SL49,2025-07-24,21:00,08-29-31-42-47-48,205,34.167,8,48,40,3,3,1,5,6,1,2
239,SL49,2025-07-27,21:00,01-11-22-33-34-39,140,23.333,1,39,38,2,4,3,3,6,1,0
240,SL49,2025-07-29,21:00,06-15-21-30-34-47,153,25.5,6,47,41,3,3,3,3,6,0,1
241,SL49,2025-07-31,21:00,01-06-11-28-37-47,130,21.667,1,47,46,2,4,3,3,6,0,2
242,SL49,2025-08-03,21:00,10-25-26-29-37-43,170,28.333,10,43,33,2,4,2,4,6,1,1
243,SL49,2025-08-05,21:00,06-11-38-39-43-49,186,31,6,49,43,2,4,2,4,6,1,1
244,SL49,2025-08-07,21:00,15-16-20-41-47-49,188,31.333,15,49,34,2,4,3,3,6,1,1
245,SL49,2025-08-10,21:00,06-10-24-30-34-44,148,24.667,6,44,38,6,0,3,3,6,0,0
246,SL49,2025-08-12,21:00,16-21-27-34-35-44,177,29.5,16,44,28,3,3,2,4,6,1,2
