draw_index,draw_date,draw_time,position,number
181,2025-03-14,21:00,2,1
181,2025-03-14,21:00,3,8
181,2025-03-14,21:00,4,7
182,2025-03-17,21:00,1,8
182,2025-03-17,21:00,2,7
182,2025-03-17,21:00,3,7
182,2025-03-17,21:00,4,8
183,2025-03-19,21:00,1,0
183,2025-03-19,21:00,2,2
183,2025-03-19,21:00,3,6
183,2025-03-19,21:00,4,8
184,2025-03-21,21:00,1,1
184,2025-03-21,21:00,2,5
184,2025-03-21,21:00,3,0
184,2025-03-21,21:00,4,2
185,2025-03-24,21:00,1,9
185,2025-03-24,21:00,2,9
185,2025-03-24,21:00,3,5
185,2025-03-24,21:00,4,8
186,2025-03-26,21:00,1,0
186,2025-03-26,21:00,2,8
186,2025-03-26,21:00,3,7
186,2025-03-26,21:00,4,7
187,2025-03-28,21:00,1,5
187,2025-03-28,21:00,2,3
187,2025-03-28,21:00,3,0
187,2025-03-28,21:00,4,6
188,2025-03-31,21:00,1,5
188,2025-03-31,21:00,2,9
188,2025-03-31,21:00,3,4
188,2025-03-31,21:00,4,1
189,2025-04-02,21:00,1,9
189,2025-04-02,21:00,2,8
189,2025-04-02,21:00,3,2
189,2025-04-02,21:00,4,1
190,2025-04-04,21:00,1,2
190,2025-04-04,21:00,2,2
190,2025-04-04,21:00,3,4
190,2025-04-04,21:00,4,9
191,2025-04-07,21:00,1,5
191,2025-04-07,21:00,2,1
191,2025-04-07,21:00,3,6
191,2025-04-07,21:00,4,5
192,2025-04-09,21:00,1,9
192,2025-04-09,21:00,2,8
192,2025-04-09,21:00,3,3
192,2025-04-09,21:00,4,9
193,2025-04-11,21:00,1,4
193,2025-04-11,21:00,2,4
193,2025-04-11,21:00,3,7
193,2025-04-11,21:00,4,7
194,2025-04-14,21:00,1,3
194,2025-04-14,21:00,2,7
194,2025-04-14,21:00,3,2
194,2025-04-14,21:00,4,4
195,2025-04-16,21:00,1,7
195,2025-04-16,21:00,2,1
195,2025-04-16,21:00,3,5
195,2025-04-16,21:00,4,4
196,2025-04-21,21:00,1,9
196,2025-04-21,21:00,2,6
196,2025-04-21,21:00,3,3
196,2025-04-21,21:00,4,9
197,2025-04-23,21:00,1,1
197,2025-04-23,21:00,2,0
197,2025-04-23,21:00,3,6
197,2025-04-23,21:00,4,6
198,2025-04-25,21:00,1,6
198,2025-04-25,21:00,2,7
198,2025-04-25,21:00,3,3
198,2025-04-25,21:00,4,7
199,2025-04-28,21:00,1,4
199,2025-04-28,21:00,2,7
199,2025-04-28,21:00,3,9
199,2025-04-28,21:00,4,2
200,2025-04-30,21:00,1,4
200,2025-04-30,21:00,2,4
200,2025-04-30,21:00,3,5
200,2025-04-30,21:00,4,6
201,2025-05-02,21:00,1,6
201,2025-05-02,21:00,2,6
201,2025-05-02,21:00,3,9
201,2025-05-02,21:00,4,8
202,2025-05-05,21:00,1,0
202,2025-05-05,21:00,2,6
202,2025-05-05,21:00,3,5
202,2025-05-05,21:00,4,4
203,2025-05-07,21:00,1,0
203,2025-05-07,21:00,2,2
203,2025-05-07,21:00,3,3
203,2025-05-07,21:00,4,1
204,2025-05-09,21:00,1,4
204,2025-05-09,21:00,2,2
204,2025-05-09,21:00,3,4
204,2025-05-09,21:00,4,7
